!SIL 1.0	SIL
<UNK> 1.0	SPN
darlığı 1.0	d a r 5 1 G 1
inci 1.0	i n dZ i
kostalarda 1.0	k o s t a 5 a r d a
eski 1.0	e s c i
kırığa 1.0	k 1 r 1 a
kırığa 1.0	k 1 r 1 G a
bağlı 1.0	b a: 5 1
bağlı 1.0	b a G 5 1
kallüs 1.0	k a 5 5 y s
formasyonları 1.0	f o r m a s j o n 5 a r 1
formasyonları 1.0	f o r m a s j o n n a r 1
lümeninin 1.0	5 y m e n i n i n
sonografik 1.0	s o n o gj r a f i k
si 1.0	s i
değerinde 1.0	d e G e r i n d e
değerinde 1.0	d e: r i n d e
yükselme 1.0	j y c s e l m e
hava 1.0	h a v a
kisti 1.0	c i s t i
kısa 1.0	k 1 s a
aksı 1.0	a k s 1
yi 1.0	j i
geçmeyen 1.0	gj e tS m e j e n
multiple 1.0	m a 5 t i p 1 5
multiple 1.0	m u 5 t i p 1 5
lenf 1.0	l e n f
nodu 1.0	n o d u
bronşektazik 1.0	b u r o n S e k t a z i k
bronşektazik 1.0	b 1 r o n S e k t a z i k
sağda 1.0	s a: d a
sağda 1.0	s a G d a
en 1.0	e n
geniş 1.0	gj e n i S
yerinde 1.0	j e r i n d e
tarzda 1.0	t a r z d a
dansiteleri 1.0	d a n s i t e 5 e r i
bronkopnömoni 1.0	b u r o n k o p n 2 m o n i
bronkopnömoni 1.0	b 1 r o n k o p n 2 m o n i
kalınlığı 1.0	k a 5 1 n 5 1:
kalınlığı 1.0	k a 5 1 n 5 1 G 1
kalınlığı 1.0	k a 5 1 n n 1:
kalınlığı 1.0	k a 5 1 n n 1 G 1
normaldir 1.0	n o r m a 5 d i r
çıkan 1.0	tS 1 k a n
aort 1.0	a o r t
ap 1.0	e a p e
ap 1.0	e j p i:
etken 1.0	e t c e n
identifikasyonuna 1.0	i d e n t i f i k a s j o n u n a
yönelik 1.0	j 2 n e l i c
tit 1.0	t i t
idrar 1.0	i d r a r
kültüründe 1.0	c y l t y r y n d e
edilmediği 1.0	e d i l m e d i:
edilmediği 1.0	e d i l m e d i G i
raporlandı 1.0	r a p o r 5 a n d 1
böbrekte 1.0	b 2 b r e c t e
asendan 1.0	a s e n d a n
pırat 1.0	p 1 r a t
nodları 1.0	n o d 5 a r 1
evinde 1.0	e v i n d e
desteği 1.0	d e s t e G i
desteği 1.0	d e s t e j i
desteği 1.0	d e s t i:
glandda 1.0	gj 1 5 a n d a
glandda 1.0	gj 1 5 a n d
levotiroksin 1.0	5 e v o t i r o k s i n
tetkik 1.0	t e t c i c
kontrastsız 1.0	k o n t r a s t s 1 z
multislice 1.0	m u 5 t i s 1 5 a j s
multislice 1.0	m a 5 t i s 1 5 a j s
inceleme 1.0	i n dZ e l e m e
plevra 1.0	p 1 l e v r a
yaprakları 1.0	j a p r a k 5 a r 1
ince 1.0	i n dZ e
efüzyon 1.0	e f y z j o n
subkarinal 1.0	s u b k a r i n a 5
aortopulmoner 1.0	a o r t o p u 5 m o n e r
bölgede 1.0	b 2 l gj e d e
anterobazal 1.0	a n t e r o b a z a 5
imajı 1.0	i m a Z 1
yumuşak 1.0	j u m u S a k
doku 1.0	d o k u
tarihli 1.0	t a r i h l i
filmleriyle 1.0	f i l m l e r i j l e
karşılaştırıldığında 1.0	k a r S 1 5 a S t 1 r 1 5 d 1 G 1 n d a
karşılaştırıldığında 1.0	k a r S 1 5 a S t 1 r 1 5 d 1: n d a
kontrolüne 1.0	k o n t r o l y n e
kronik 1.0	k 1 r o n i c
af 1.0	a f
bulgular 1.0	b u 5 g u 5 a r
izlendiği 1.0	i z l e n d i:
izlendiği 1.0	i z l e n d i G i
konsültasyon 1.0	k o n s y l t a s j o n
notu 1.0	n o t u
pretibial 1.0	p i r e t i b i a 5
pretibial 1.0	p i r e t i b i j a 5
bilinen 1.0	b i l i n e n
fizik 1.0	f i z i c
zonlarda 1.0	z o n 5 a r d a
manşet 1.0	m a n S e t
ralleri 1.0	r a 5 5 e r i
desmont 1.0	d e s m o n t
trans 1.0	t 1 r a n s
diüretik 1.0	d i y r e t i k
covid 1.0	dZ o v i d
dokuz 1.0	d o k u z
pnömonisinde 1.0	p i n 2 m o n i s i n d e
pnömonisinde 1.0	p y n 2 m o n i s i n d e
görülebilir 1.0	gj 2 r y l e b i l i r
ancak 1.0	a n dZ a k
nonspesifiktir 1.0	n o n s i p e s i f i k t i r
nonspesifiktir 1.0	n o n s 1 p e s i f i k t i r
dizi 1.0	d i z i
enfeksiyonda 1.0	e n f e c s i j o n d a
enfeksiyon 1.0	e n f e c s i j o n
dışı 1.0	d 1 S 1
hastalıkta 1.0	h a s t a 5 1 k t a
bulunabilir 1.0	b u 5 u n a b i l i r
me 1.0	m e
tabanlı 1.0	t a b a n 5 1
tabanlı 1.0	t a b a n n 1
fibrotik 1.0	f i b r o t i k
çekintiler 1.0	tS e c i n t i l e r
amfizematöz 1.0	a m f i z e m a t 2 z
kardiyomegali 1.0	k a r d i j o m e gj a 5 i
perikardiyal 1.0	p e r i k a r d i j a 5
bronşlar 1.0	b 1 r o n S 5 a r
açıktır 1.0	a tS 1 k t 1 r
klinik 1.0	c 1 l i n i c
laboratuar 1.0	5 a b r o t u v a r
laboratuar 1.0	5 a b r a t u v a r
laboratuar 1.0	5 a b r a t u a r
laboratuar 1.0	5 a b o r a t u a r
laboratuar 1.0	5 a b o r a t u v a r
bulgularla 1.0	b u 5 g u 5 a r 5 a
yan 1.0	j a n
yakınlarının 1.0	j a k 1 n 5 a r 1 n 1 n
yakınlarının 1.0	j a k 1 n n a r 1 n 1 n
önceden 1.0	2 n dZ e d e n
bilindiğini 1.0	b i l i n d i G i n i
bilindiğini 1.0	b i l i n d i: n i
belirttiği 1.0	b e l i r t t i:
belirttiği 1.0	b e l i r t t i G i
bulgularının 1.0	b u 5 g u 5 a r 1 n 1 n
hepsi 1.0	h e p s i
hiponatremisinin 1.0	h i p o n a t r e m i s i n i n
seyir 1.0	s e j i r
uygulanan 1.0	u j gj u 5 a n a n
ilaçlar 1.0	i l a tS 5 a r
malzemeler 1.0	m a 5 z e m e l e r
bunun 1.0	b u n u n
değerlendirildiği 1.0	d e G e r l e n d i r i l d i G i
değerlendirildiği 1.0	d e: r l e n d i r i l d i:
görülmediği 1.0	gj 2 r y l m e d i:
görülmediği 1.0	gj 2 r y l m e d i G i
öğrenildi 1.0	2 G r e n i l d i
öğrenildi 1.0	2: r e n i l d i
alanlarında 1.0	a 5 a n 5 a r 1 n d a
alanlarında 1.0	a 5 a n n a r 1 n d a
aktif 1.0	a k t i f
kaplayıcı 1.0	k a p 5 a j 1 dZ 1
kitle 1.0	c i t l e
hafif 1.0	h a f i f
bal 1.0	b a 5
peteği 1.0	p e t e G i
peteği 1.0	p e t e j i
peteği 1.0	p e t i:
görünümü 1.0	gj 2 r y n y m y
interstisyel 1.0	i n t e r s t i s j e 5
hastalığı 1.0	h a s t a 5 1:
hastalığı 1.0	h a s t a 5 1 G 1
seviyede 1.0	s e v i j e d e
ovoid 1.0	o v o i d
ovoid 1.0	o v o j i d
ovoid 1.0	o v o j i t
formda 1.0	f o r m d a
segmentlerinde 1.0	s e gj m e n t 5 e r i n d e
konsolidasyon 1.0	k o n s o l i d a s j o n
alanları 1.0	a 5 a n 5 a r 1
alanları 1.0	a 5 a n n a r 1
lokalizasyondadır 1.0	5 o k a 5 i z a s j o n d a d 1 r
boyutları 1.0	b o j u t 5 a r 1
diafragma 1.0	d i a f 1 r a gj m a
diafragma 1.0	d i j a f 1 r a gj m a
diafragma 1.0	d i j a f 1 r a k m a
diafragma 1.0	d i j a f r a gj m a
konturları 1.0	k o n t u r 5 a r 1
düzgündür 1.0	d y z gj y n d y r
gerilemiş 1.0	gj e r i l e m i S
durumda 1.0	d u r u m d a
korka 1.0	k o r k a
yüzü 1.0	j y z y
bakışları 1.0	b a k 1 S 5 a r 1
bana 1.0	b a n a
inandığını 1.0	i n a n d 1 G 1 n 1
inandığını 1.0	i n a n d 1: n 1
gösteriyordu 1.0	gj 2 s t e r i j o d u
gösteriyordu 1.0	gj 2 s t e r i j o r d u
fakat 1.0	f a c a t
benim 1.0	b e n i m
bundan 1.0	b u n d a n
uykuya 1.0	u j k u j a
dönmek 1.0	d 2 n m e c
imkânı 1.0	i m k e a n 1
yoktu 1.0	j o k t u
tekrar 1.0	t e c r a r
üzüntülü 1.0	y z y n t y l y
tereddüde 1.0	t e r e d d y d e
düştüm 1.0	d y S t y m
bunları 1.0	b u n 5 a r 1
bunları 1.0	b u n n a r 1
görünce 1.0	gj 2 r y n dZ e
dün 1.0	d y n
akşamki 1.0	a k S a m c i
halimi 1.0	h a l i m i
halimi 1.0	h a: l i m i
hatırladım 1.0	h a t 1 r 5 a d 1 m
ressamlar 1.0	r e s s a m 5 a r
uzaktan 1.0	u z a k t a n
bize 1.0	b i z e
bakıyorlar 1.0	b a k 1 j o 5 a r
bakıyorlar 1.0	b a k 1 j o r 5 a r
muhakkak 1.0	m u h a k k a k
ki 1.0	c i
sırıtıyorlardı 1.0	s 1 r 1 t 1 j o 5 a r d 1
sırıtıyorlardı 1.0	s 1 r 1 t 1 j o r 5 a r d 1
ondan 1.0	o n d a n
kere 1.0	c e r e
uzun 1.0	u z u n
çaldım 1.0	tS a 5 d 1 m
hayır 1.0	h a j 1 r
hayır 1.0	h a: j 1 r
bu 1.0	b u
kâğıdın 1.0	k e a G 1 d 1 n
benimle 1.0	b e n i m l e
alakası 1.0	a 5 a k a s 1
olamazdı 1.0	o 5 a m a z d 1
ben 1.0	b e n
yanına 1.0	j a n 1 n a
iliştim 1.0	i l i S t i m
hiç 1.0	h i tS
merak 1.0	m e r a k
etmiyor 1.0	e t m i j o
etmiyor 1.0	e t m i j o r
musunuz 1.0	m u s u n u z
sanki 1.0	s a n c i
peki 1.0	p e c i
nereye 1.0	n e r e j e
gideceğimi 1.0	gj i d e dZ e G i m i
gideceğimi 1.0	gj i d e dZ e j i m i
gideceğimi 1.0	gj i d e dZ i: m i
o 1.0	o
bilmiyor 1.0	b i l m i j o
bilmiyor 1.0	b i l m i j o r
doğru 1.0	d o G r u
doğru 1.0	d o: r u
dürüst 1.0	d y r y s t
lisan 1.0	l i s a n
bildiği 1.0	b i l d i:
bildiği 1.0	b i l d i G i
bile 1.0	b i l e
şüpheli 1.0	S y p h e l i
dışarıda 1.0	d 1 S a r 1 d a
fırtına 1.0	f 1 r t 1 n a
gittikçe 1.0	gj i t t i c tS e
artıyor 1.0	a r t 1 j o
artıyor 1.0	a r t 1 j o r
rüzgar 1.0	r y z gj a r
ıslak 1.0	1 s 5 a k
kamçısını 1.0	k a m tS 1 s 1 n 1
kerpiç 1.0	c e r p i tS
duvarlarda 1.0	d u w a r 5 a r d a
gezdiriyordu 1.0	gj e z d i r i j o d u
gezdiriyordu 1.0	gj e z d i r i j o r d u
sabahtan 1.0	s a b a h t a n
beri 1.0	b e r i
kurduğum 1.0	k u r d u G u m
kurduğum 1.0	k u r d u: m
binanın 1.0	b i n a n 1 n
yeller 1.0	j e l l e r
esiyordu 1.0	e s i j o d u
esiyordu 1.0	e s i j o r d u
gözleri 1.0	gj 2 z l e r i
camların 1.0	dZ a m 5 a r 1 n
altında 1.0	a 5 t 1 n d a
derine 1.0	d e r i n e
kaçmışa 1.0	k a tS m 1 S a
benziyordu 1.0	b e n z i j o d u
benziyordu 1.0	b e n z i j o r d u
size 1.0	s i z e
tabiyim 1.0	t a: b i: j i m
sormayın 1.0	s o r m a j 1 n
hayatta 1.0	h a j a t t a
yalnız 1.0	j a 5 n 1 z
başına 1.0	b a S 1 n a
yürüyebilecek 1.0	j y r y j e b i l e dZ e c
insan 1.0	i n s a n
değildim 1.0	d e G i l d i m
değildim 1.0	d e j i l d i m
değildim 1.0	d i: l d i m
zalimlik 1.0	z a l i m l i c
zavallılığın 1.0	z a v a 5 5 1 5 1 G 1 n
zavallılığın 1.0	z a v a 5 5 1 5 1: n
iştiraki 1.0	i S t i r a k i
hiçbir 1.0	h i tS b i r
yerde 1.0	j e r d e
kadar 1.0	k a d a r
açık 1.0	a tS 1 k
gösterilmemiştir 1.0	gj 2 s t e r i l m e m i S t i r
saadetimin 1.0	s a a d e t i m i n
neşesi 1.0	n e S e s i
şey 1.0	S e j
düşünmeden 1.0	d y S y n m e d e n
müddet 1.0	m y d d e t
durdum 1.0	d u r d u m
çünkü 1.0	tS y n c y
artık 1.0	a r t 1 k
yaşamıyor 1.0	j a S a m 1 j o
yaşamıyor 1.0	j a S a m 1 j o r
sabahleyin 1.0	s a b a h l e j i n
aldığım 1.0	a 5 d 1 G 1 m
aldığım 1.0	a 5 d 1: m
kahvede 1.0	k a h v e d e
oturup 1.0	o t u r u p
okurken 1.0	o k u r c e n
sergi 1.0	s e r gj i
hakkındaki 1.0	h a k k 1 n d a c i
makaleyi 1.0	m a k a l e j i
gördüğüm 1.0	gj 2 r d y G y m
gördüğüm 1.0	gj 2 r d y: m
gazeteydi 1.0	gj a z e t e j d i
son 1.0	s o n
günlerde 1.0	gj y n l e r d e
günlerde 1.0	gj y n n e r d e
pansiyona 1.0	p a n s i j o n a
gitmekten 1.0	gj i t m e c t e n
çekiniyordum 1.0	tS e c i n i j o d u m
çekiniyordum 1.0	tS e c i n i j o r d u m
susuyordu 1.0	s u s u j o d u
susuyordu 1.0	s u s u j o r d u
biraz 1.0	b i r a z
ağır 1.0	a 1 r
ağır 1.0	a G 1 r
ağır 1.0	a: r
müzik 1.0	m y z i c
başladı 1.0	b a S 5 a d 1
burası 1.0	b u r a s 1
küçük 1.0	c y tS y c
mahrem 1.0	m a h r e m
atlantikten 1.0	a t 5 a n t i k t e n
büsbütün 1.0	b y s b y t y n
başkaydı 1.0	b a S k a j d 1
iskarpinlerinin 1.0	i s k a r p i n l e r i n i n
iskarpinlerinin 1.0	i s k a r p i n n e r i n i n
kuru 1.0	k u r u
sesler 1.0	s e s l e r
tenha 1.0	t e n h a
sokağın 1.0	s o k a 1 n
sokağın 1.0	s o k a G 1 n
sokağın 1.0	s o k a: n
tarafındaki 1.0	t a r a f 1 n d a c i
evlere 1.0	e v l e r e
çarpıp 1.0	tS a r p 1 p
aksediyordu 1.0	a k s e d i j o d u
aksediyordu 1.0	a k s e d i j o r d u
gece 1.0	gj e dZ e
içeri 1.0	i tS e r i
bırakmadılar 1.0	b 1 r a k m a d 1 5 a r
sabahı 1.0	s a b a h 1
bekledim 1.0	b e c l e d i m
babam 1.0	b a b a m
mektubunda 1.0	m e c t u b u n d a
evet 1.0	e v e t
şeye 1.0	S e j e
razı 1.0	r a z 1
olmuş 1.0	o 5 m u S
onun 1.0	o n u n
bütün 1.0	b y t y n
şartlarını 1.0	S a r t 5 a r 1 n 1
kabul 1.0	c a b u l
etmiştim 1.0	e t m i S t i m
biz 1.0	b i z
burada 1.0	b u r a d a
sefarethanede 1.0	s e f a r e t h a n e d e
büyük 1.0	b y j y c
toplantı 1.0	t o p 5 a n t 1
yaparak 1.0	j a p a r a k
zaferin 1.0	z a f e r i n
heyecanını 1.0	h e j e dZ a: n 1 n 1
tatmıştık 1.0	t a t m 1 S t 1 k
sizi 1.0	s i z i
anlıyorum 1.0	a n 5 1 j o r u m
anlıyorum 1.0	a n n 1 j o r u m
raif 1.0	r a i f
bey 1.0	b e j
şiddetle 1.0	S i d d e t l e
reddetti 1.0	r e d d e t t i
şeyi 1.0	S e j i
zaman 1.0	z a m a n
öğrenmiş 1.0	2 G r e n m i S
öğrenmiş 1.0	2: r e n m i S
olsaydım 1.0	o 5 s a j d 1 m
belki 1.0	b e l c i
zamanla 1.0	z a m a n 5 a
zamanla 1.0	z a m a n n a
alışır 1.0	a 5 1 S 1 r
seni 1.0	s e n i
başkalarında 1.0	b a S k a 5 a r 1 n d a
bulmaya 1.0	b u 5 m a j a
gayret 1.0	gj a j r e t
ederdim 1.0	e d e r d i m
yüzünü 1.0	j y z y n y
görmemiştim 1.0	gj 2 r m e m i S t i m
köprünün 1.0	c 2 p r y n y n
kenarına 1.0	c e n a r 1 n a
yaslanarak 1.0	j a s 5 a n a r a k
hareketsiz 1.0	h a r e c e t s i z
sulara 1.0	s u 5 a r a
baktım 1.0	b a k t 1 m
nevi 1.0	n e v i
eğlencemdir 1.0	e G 5 e n dZ e m d i r
nefesimi 1.0	n e f e s i m i
verirken 1.0	v e r i r c e n
ihtimal 1.0	i h t i m a l
duyar 1.0	d u j a r
gülümseyerek 1.0	gj y l y m s e j e r e c
ölürdüm 1.0	2 l y r d y m
selam 1.0	s e l a m
verdikten 1.0	v e r d i c t e n
uzaklaştı 1.0	u z a k 5 a S t 1
haydi 1.0	h a j d i
gidelim 1.0	gj i d e l i m
buna 1.0	b u n a
rağmen 1.0	r a G m e n
rağmen 1.0	r a: m e n
karşımdaki 1.0	k a r S 1 m d a c i
üşür 1.0	y S y r
görünüyordu 1.0	gj 2 r y n y j o d u
görünüyordu 1.0	gj 2 r y n y j o r d u
ne 1.0	n e
münasebet 1.0	m y n a s e b e t
onu 1.0	o n u
belinden 1.0	b e l i n d e n
belinden 1.0	b e l i: n d e n
yakalayarak 1.0	j a k a 5 a j a r a k
götürüyor 1.0	gj 2 t y r y j o
götürüyor 1.0	gj 2 t y r y j o r
ara 1.0	a r a
sıra 1.0	s 1 r a
ayaklarına 1.0	a j a k 5 a r 1 n a
basıyordum 1.0	b a s 1 j o d u m
basıyordum 1.0	b a s 1 j o r d u m
üçüncü 1.0	y tS y n dZ y
dördüncüye 1.0	d 2 r d y n dZ y j e
mi 1.0	m i:
yürüyordu 1.0	j y r y j o d u
yürüyordu 1.0	j y r y j o r d u
evlendim 1.0	e v l e n d i m
ruhum 1.0	r u: h u m
korkunç 1.0	k o r k u n tS
boşluk 1.0	b o S 5 u k
halindeydi 1.0	h a l i n d e j d i
halindeydi 1.0	h a: l i n d e j d i
ateşi 1.0	a t e S i
var 1.0	v a r
hemen 1.0	h e m e n
odama 1.0	o d a m a
girip 1.0	gj i r i p
kapıyı 1.0	k a p 1 j 1
içeriden 1.0	i tS e r i d e n
kilitledim 1.0	c i l i t l e d i m
kimsesiz 1.0	c i m s e s i z
hep 1.0	h e p
aynı 1.0	a j n 1
kapalı 1.0	k a p a 5 1
sessiz 1.0	s e s s i z
kaldı 1.0	k a 5 d 1
iyi 1.0	i j i
cesaret 1.0	dZ e s a: r e t
edip 1.0	e d i p
kalkamıyorum 1.0	k a 5 k a m 1 j o r u m
hayli 1.0	h a j l i
yürüdük 1.0	j y r y d y c
olmadıktan 1.0	o 5 m a d 1 k t a n
aile 1.0	a: i l e
sahibi 1.0	s a h i b i
olmanın 1.0	o 5 m a n 1 n
hakiki 1.0	h a c i: c i:
ismi 1.0	i s m i
birtakım 1.0	b i r t a k 1 m
yabancılar 1.0	j a b a n dZ 1 5 a r
beslemek 1.0	b e s l e m e c
ti 1.0	t i
akşam 1.0	a k S a m
neden 1.0	n e d e n
uyumadın 1.0	u j u m a d 1 n
ayrılmanın 1.0	a j r 1 5 m a n 1 n
güç 1.0	gj y tS
geleceğini 1.0	gj e l e dZ e G i n i
geleceğini 1.0	gj e l e dZ e j i n i
geleceğini 1.0	gj e l e dZ i: n i
biliyordum 1.0	b i l i j o d u m
biliyordum 1.0	b i l i j o r d u m
demeden 1.0	d e m e d e n
önüne 1.0	2 n y n e
bakıyordu 1.0	b a k 1 j o d u
bakıyordu 1.0	b a k 1 j o r d u
bunların 1.0	b u n 5 a r 1 n
bunların 1.0	b u n n a r 1 n
sonunda 1.0	s o n u n d a
kopacağını 1.0	k o p a dZ a 1 n 1
kopacağını 1.0	k o p a dZ a G 1 n 1
kopacağını 1.0	k o p a dZ a: n 1
seziyorduk 1.0	s e z i j o d u k
seziyorduk 1.0	s e z i j o r d u k
bilmem 1.0	b i l m e m
söylediğiniz 1.0	s 2 j l e d i G i n i z
söylediğiniz 1.0	s 2 j l e d i: n i z
an 1.0	a n
meselesidir 1.0	m e s e l e s i d i r
dedim 1.0	d e d i m
sergiye 1.0	s e r gj i j e
gelmediniz 1.0	gj e l m e d i n i z
odanın 1.0	o d a n 1 n
sıkıntılı 1.0	s 1 k 1 n t 1 5 1
vardı 1.0	v a r d 1
evine 1.0	e v i n e
ilk 1.0	i l k
defa 1.0	d e f a:
mutat 1.0	m u t a t
hastalıklarından 1.0	h a s t a 5 1 k 5 a r 1 n d a n
birinde 1.0	b i r i n d e
gittim 1.0	gj i t t i m
aradığı 1.0	a r a d 1:
aradığı 1.0	a r a d 1 G 1
bulamadığı 1.0	b u 5 a m a d 1:
bulamadığı 1.0	b u 5 a m a d 1 G 1
yanıyordu 1.0	j a n 1 j o d u
yanıyordu 1.0	j a n 1 j o r d u
henüz 1.0	h e n y z
kimse 1.0	c i m s e
tutulmamış 1.0	t u t u 5 m a m 1 S
anlaşılan 1.0	a n 5 a S 1 5 a n
anlaşılan 1.0	a n n a S 1 5 a n
tanesine 1.0	t a n e s i n e
gidip 1.0	gj i d i p
oturdum 1.0	o t u r d u m
hocalar 1.0	h o dZ a 5 a r
bende 1.0	b e n d e
fazla 1.0	f a z 5 a
bulmuyorlardı 1.0	b u 5 m u j o 5 a r d 1
bulmuyorlardı 1.0	b u 5 m u j o r 5 a r d 1
demek 1.0	d e m e c
istediğini 1.0	i s t e d i G i n i
istediğini 1.0	i s t e d i: n i
anlayamadığım 1.0	a n 5 a j a m a d 1 G 1 m
anlayamadığım 1.0	a n 5 a j a m a d 1: m
anlayamadığım 1.0	a n n a j a m a d 1 G 1 m
anlayamadığım 1.0	a n n a j a m a d 1: m
aklıma 1.0	a k 5 1 m a
sürü 1.0	s y r y
münasebetsiz 1.0	m y n a s e b e t s i z
ihtimaller 1.0	i h t i m a l l e r
geliyordu 1.0	gj e l i j o d u
geliyordu 1.0	gj e l i j o r d u
e 1.0	e
nasılsın 1.0	n a s 1 5 s 1 n
bakalım 1.0	b a k a 5 1 m
anlat 1.0	a n 5 a t
anlat 1.0	a n n a t
diye 1.0	d i j e
sordu 1.0	s o r d u
pansiyon 1.0	p a n s i j o n
madam 1.0	m a d a m
boş 1.0	b o S
zamanlarını 1.0	z a m a n 5 a r 1 n 1
zamanlarını 1.0	z a m a n n a r 1 n 1
gevezeliğe 1.0	gj e v e z e l i G e
gevezeliğe 1.0	gj e v e z e l i j e
hasrediyor 1.0	h a s r e d i j o
hasrediyor 1.0	h a s r e d i j o r
yardımda 1.0	j a r d 1 m d a
bulunuyordu 1.0	b u 5 u n u j o d u
bulunuyordu 1.0	b u 5 u n u j o r d u
onların 1.0	o n 5 a r 1 n
onların 1.0	o n n a r 1 n
beni 1.0	b e n i
anlamalarına 1.0	a n 5 a m a 5 a r 1 n a
anlamalarına 1.0	a n n a m a 5 a r 1 n a
imkân 1.0	i m k e a n
yarın 1.0	j a r 1 n
yarın 1.0	j a: r 1 n
sabah 1.0	s a b a h
uğra 1.0	u G r a
uğra 1.0	u: r a
diyordu 1.0	d i j o d u
diyordu 1.0	d i j o r d u
içimde 1.0	i tS i m d e
canlı 1.0	dZ a n 5 1
canlı 1.0	dZ a n n 1
his 1.0	h i s
sesi 1.0	s e s i
verdi 1.0	v e r d i
yapayım 1.0	j a p a j 1 m
arkadaşlarımın 1.0	a r k a d a S 5 a r 1 m 1 n
çoğu 1.0	tS o G u
çoğu 1.0	tS o: u
ortadan 1.0	o r t a d a n
kaybolmuştu 1.0	k a j b o 5 m u S t u
yüzüne 1.0	j y z y n e
bakmadım 1.0	b a k m a d 1 m
bira 1.0	b i r a
söyledim 1.0	s 2 j l e d i m
bunu 1.0	b u n u
evvelisi 1.0	e v v e 5 i s i
ağlayarak 1.0	a: 5 a j a r a k
ağlayarak 1.0	a G 5 a j a r a k
söyledi 1.0	s 2 j l e d i
kafamda 1.0	k a f a m d a
başıma 1.0	b a S 1 m a
saklayamayacağım 1.0	s a k 5 a j a m a j a dZ a 1 m
saklayamayacağım 1.0	s a k 5 a j a m a j a dZ a G 1 m
saklayamayacağım 1.0	s a k 5 a j a m a j a dZ a: m
kendisi 1.0	c e n d i s i
yatağın 1.0	j a t a 1 n
yatağın 1.0	j a t a G 1 n
yatağın 1.0	j a t a: n
ilişti 1.0	i l i S t i
bakışlarımız 1.0	b a k 1 S 5 a r 1 m 1 z
karşılaşınca 1.0	k a r S 1 5 a S 1 n dZ a
gözleriyle 1.0	gj 2 z l e r i j l e
dostça 1.0	d o s t tS a
selamladı 1.0	s e l a m 5 a d 1
halbuki 1.0	h a l b u c i
şimdi 1.0	S i m d i
değişmişti 1.0	d e G i S m i S t i
değişmişti 1.0	d e j i S m i S t i
değişmişti 1.0	d i: S m i S t i
yağmur 1.0	j a G m u r
yağmur 1.0	j a: m u r
ediyordu 1.0	e d i j o d u
ediyordu 1.0	e d i j o r d u
beklediğim 1.0	b e c l e d i G i m
beklediğim 1.0	b e c l e d i: m
ayak 1.0	a j a k
duyulmadı 1.0	d u j u 5 m a d 1
kapalıydı 1.0	k a p a 5 1 j d 1
ruhu 1.0	r u: h u
kim 1.0	c i m
bilir 1.0	b i l i r
nerelerde 1.0	n e r e l e r d e
dolaşıyordu 1.0	d o 5 a S 1 j o d u
dolaşıyordu 1.0	d o 5 a S 1 j o r d u
kilometrelerce 1.0	c i l o m e t r e l e r dZ e
uzayan 1.0	u z a j a n
caddede 1.0	dZ a d d e d e
böylece 1.0	b 2 j l e dZ e
geldim 1.0	gj e l d i m
yani 1.0	j a n i
dinle 1.0	d i n l e
dinle 1.0	d i n n e
alakam 1.0	a 5 a k a m
yok 1.0	j o k
günlerim 1.0	gj y n l e r i m
günlerim 1.0	gj y n n e r i m
birbirine 1.0	b i r b i r i n e
tıpkı 1.0	t 1 p k 1
tıpkısına 1.0	t 1 p k 1 s 1 n a
benzeyerek 1.0	b e n z e j e r e c
geçiyordu 1.0	gj e tS i j o d u
geçiyordu 1.0	gj e tS i j o r d u
verdiğim 1.0	v e r d i G i m
verdiğim 1.0	v e r d i: m
sözü 1.0	s 2 z y
yerine 1.0	j e r i n e
getirmek 1.0	gj e t i r m e c
defteri 1.0	d e f t e r i
cebime 1.0	dZ e b i m e
koyarak 1.0	k o j a r a k
iğneli 1.0	i G n e l i
iğneli 1.0	i: n e l i
geçmiş 1.0	gj e tS m i S
olsunlarla 1.0	o 5 s u n 5 a r 5 a
karşılarlardı 1.0	k a r S 1 5 a r 5 a r d 1
yalnızım 1.0	j a 5 n 1 z 1 m
gülümsedim 1.0	gj y l y m s e d i m
önüme 1.0	2 n y m e
sarhoşluğun 1.0	s a r h o S 5 u G u n
sarhoşluğun 1.0	s a r h o S 5 u: n
tesiriyle 1.0	t e s i r i j l e
midir 1.0	m i d i r
nedir 1.0	n e d i r
utangaçlığı 1.0	u t a n gj a tS 5 1:
utangaçlığı 1.0	u t a n gj a tS 5 1 G 1
filân 1.0	f i 5 a n
unutmuş 1.0	u n u t m u S
ona 1.0	o n a
sımsıkı 1.0	s 1 m s 1 k 1
sarılmıştım 1.0	s a r 1 5 m 1 S t 1 m
sabırsızlık 1.0	s a b 1 r s 1 z 5 1 k
görüntüle 1.0	gj 2 r y n t y l e
kahkahayı 1.0	k a h k a h a j 1
başımı 1.0	b a S 1 m 1
eğip 1.0	e G i p
eğip 1.0	e j i p
eğip 1.0	i: p
yalvarmaya 1.0	j a 5 v a r m a j a
gidemezdim 1.0	gj i d e m e z d i m
ölüyor 1.0	2 l y j o
ölüyor 1.0	2 l y j o r
muyuz 1.0	m u j u z
gene 1.0	gj e n e
köprülerin 1.0	c 2 p r y l e r i n
altından 1.0	a 5 t 1 n d a n
üstünden 1.0	y s t y n d e n
geçtim 1.0	gj e tS t i m
sözüne 1.0	s 2 z y n e
edemedi 1.0	e d e m e d i
görsel 1.0	gj 2 r s e l
gözlerim 1.0	gj 2 z l e r i m
